District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Create Date/Time,Latitude,Longitude
LUCKNOW,P01042100004,C1,PS1,PHONE,Information Against Police,Misbehavior By Prv,01/04/2021 00:00:00,26.834,81.008
LUCKNOW,P01042104316,C1,PS1,PHONE,Threat In Person,Attack,01/04/2021 12:09:00,26.828,81.014
LUCKNOW,P01042104847,C1,PS1,PHONE,Dispute,Dispute In Hospital,01/04/2021 12:51:00,26.840,81.009
LUCKNOW,P01042105074,C1,PS1,PHONE,Gambling,Play Cards,01/04/2021 13:10:00,26.828,81.002
LUCKNOW,P01042105152,C1,PS1,PHONE,Threat In Person,Attack,01/04/2021 13:18:00,26.834,81.033
LUCKNOW,P01042105910,C1,PS1,PHONE,Missing,Grp- Person Accident By Train ,01/04/2021 14:19:00,26.826,81.011
LUCKNOW,P01042106298,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,01/04/2021 14:51:00,26.835,81.008
LUCKNOW,P01042106686,C1,PS1,PHONE,Theft,Gold Shop,01/04/2021 15:25:00,26.839,81.026
LUCKNOW,P01042109479,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,01/04/2021 19:45:00,26.835,81.026
LUCKNOW,P01042110068,C1,PS1,PHONE,Dispute,Money Transactions Dispute,01/04/2021 20:31:00,26.841,81.015
LUCKNOW,P01042110781,C1,PS1,PHONE,Dispute,Money Transactions Dispute,01/04/2021 21:20:00,26.835,81.008
LUCKNOW,P01042111576,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,01/04/2021 22:14:00,26.833,81.026
LUCKNOW,P01042112778,C1,PS1,PHONE,Threat In Person,Threatening To Kill,01/04/2021 23:51:00,26.835,81.014
LUCKNOW,P02042104813,C1,PS1,PHONE,Threat In Person,Threatening To Kill,02/04/2021 13:05:00,26.838,81.009
LUCKNOW,P02042106822,C1,PS1,PHONE,Threat In Person,Threatening To Kill,02/04/2021 15:56:00,26.846,81.061
LUCKNOW,P02042107983,C1,PS1,PHONE,Property Disputes,House Capture,02/04/2021 17:43:00,26.844,81.031
LUCKNOW,P02042107998,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,02/04/2021 17:44:00,26.845,81.042
LUCKNOW,P02042108844,C1,PS1,PHONE,Property Disputes,Boundary Dispute,02/04/2021 19:01:00,26.845,81.031
